                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.75383,                0.64231,                 1.0324,                 0.7522,                0.76465,                0.80451,                0.62064,                 1.0943,                0.67713,                 1.1738,             0.00073579,             0.00073579,             0.00073579
                     52,                0.71674,                 0.5804,                 1.0202,                0.75077,                0.72088,                0.81476,                0.63231,                 1.4079,                 2.3663,                 1.2249,             0.00072164,             0.00072164,             0.00072164
                     53,                0.70384,                 0.6265,                 1.0153,                0.86235,                0.70921,                0.84967,                0.63106,                 1.4045,                0.79102,                 1.2228,              0.0007075,              0.0007075,              0.0007075
                     54,                0.74841,                0.58551,                 1.0318,                0.85299,                0.61584,                0.76121,                0.59072,                 1.3864,                 0.8775,                 1.2314,             0.00069335,             0.00069335,             0.00069335
                     55,                0.74765,                0.64124,                 1.0492,                0.68168,                0.65156,                0.72543,                0.55204,                 1.2806,                0.78589,                  1.226,              0.0006792,              0.0006792,              0.0006792
                     56,                0.69901,                0.53965,                 1.0013,                0.88553,                 0.6629,                 0.7982,                0.61803,                 1.1958,                 0.7359,                  1.179,             0.00066506,             0.00066506,             0.00066506
                     57,                0.68551,                0.59126,                 1.0096,                0.82821,                0.86771,                0.90088,                0.70428,                 1.1662,                0.72614,                 1.1812,             0.00065091,             0.00065091,             0.00065091
                     58,                0.66755,                0.54105,                 0.9915,                0.92005,                0.81775,                0.88048,                0.68042,                 1.1011,                0.64337,                 1.1329,             0.00063676,             0.00063676,             0.00063676
                     59,                0.69469,                0.53839,                 1.0279,                 0.9246,                0.83333,                0.88093,                0.69035,                 1.1951,                 0.6197,                 1.2074,             0.00062262,             0.00062262,             0.00062262
                     60,                0.67356,                 0.6033,                 1.0042,                 0.9333,                0.77839,                0.85263,                0.67485,                 1.2799,                 0.8395,                 1.3379,             0.00060847,             0.00060847,             0.00060847
                     61,                0.71986,                0.60603,                 1.0325,                0.78976,                0.83545,                0.82132,                0.64505,                  1.271,                0.76908,                 1.2876,             0.00059432,             0.00059432,             0.00059432
                     62,                0.69517,                0.58595,                 1.0205,                0.82869,                0.80924,                0.85086,                0.65324,                0.97742,                 1.0893,                  1.161,             0.00058017,             0.00058017,             0.00058017
                     63,                0.65245,                0.61513,                0.99622,                0.95773,                 0.7754,                0.90234,                0.70182,                0.90177,                0.82197,                 1.1659,             0.00056603,             0.00056603,             0.00056603
